DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
063,Clarksburg,2023,15.46,0.00,15.46,15.46,15.46
063,Clarksburg,2024,,,,,
064,Clinton,2023,13.37,0.00,22.42,22.42,22.42
064,Clinton,2024,13.14,0.00,21.81,21.81,21.81
065,Cohasset,2023,11.80,0.00,11.80,11.80,11.80
065,Cohasset,2024,,,,,
066,Colrain,2023,19.63,0.00,19.63,19.63,19.63
066,Colrain,2024,18.98,0.00,18.98,18.98,18.98
067,Concord,2023,12.96,0.00,12.96,12.96,12.96
067,Concord,2024,13.13,0.00,12.24,12.24,12.24
068,Conway,2023,17.15,0.00,17.15,17.15,17.15
068,Conway,2024,,,,,
069,Cummington,2023,14.06,0.00,14.06,14.06,14.06
069,Cummington,2024,13.50,0.00,13.50,13.50,13.50
070,Dalton,2023,18.37,0.00,18.37,18.37,18.37
070,Dalton,2024,17.01,0.00,17.01,17.01,17.01
071,Danvers,2023,11.75,0.00,19.98,19.98,19.98
071,Danvers,2024,11.11,0.00,18.60,18.60,18.60
072,Dartmouth,2023,8.78,0.00,17.62,17.62,17.55
072,Dartmouth,2024,8.33,0.00,16.65,16.65,16.59
073,Dedham,2023,12.84,0.00,26.55,26.55,26.55
073,Dedham,2024,12.50,0.00,25.88,25.88,25.88
074,Deerfield,2023,14.97,0.00,14.97,14.97,14.97
074,Deerfield,2024,13.85,0.00,13.85,13.85,13.85
075,Dennis,2023,4.67,4.67,4.67,4.67,4.67
075,Dennis,2024,4.39,4.39,4.39,4.39,4.39
076,Dighton,2023,13.94,0.00,25.64,25.64,25.64
076,Dighton,2024,13.68,0.00,26.58,26.58,26.58
077,Douglas,2023,14.36,0.00,14.36,14.36,14.36
077,Douglas,2024,13.52,0.00,13.52,13.52,13.52
078,Dover,2023,12.19,0.00,12.19,12.19,12.19
078,Dover,2024,10.96,0.00,10.96,10.96,10.96
079,Dracut,2023,11.58,0.00,11.58,11.58,11.58
079,Dracut,2024,10.45,0.00,10.45,10.45,10.45
